batch,arm,cell,seed,game,bot,sharePar,src,K,size,turnCap,budgetMs,roster
b1,nullA,pi-potion-hazard-snake6,95005,b1|pi-potion-hazard-snake6|95005|pi-potion-hazard-snake6-s95005-r1.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95005,b1|pi-potion-hazard-snake6|95005|pi-potion-hazard-snake6-s95005-r1.jsonl.gz,potionIntel,1.8461538461538463,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95005,b1|pi-potion-hazard-snake6|95005|pi-potion-hazard-snake6-s95005-r1.jsonl.gz,parentDefault,1.1538461538461537,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95001,b1|pi-potion-snake6|95001|pi-potion-snake6-s95001-r1.jsonl.gz,reflex,0.5581395348837209,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95001,b1|pi-potion-snake6|95001|pi-potion-snake6-s95001-r1.jsonl.gz,potionIntel,1.4651162790697674,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95001,b1|pi-potion-snake6|95001|pi-potion-snake6-s95001-r1.jsonl.gz,parentDefault,0.9767441860465116,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95007,b1|pi-potion-snake6|95007|pi-potion-snake6-s95007-r2.jsonl.gz,parentDefault,1.7586206896551724,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95007,b1|pi-potion-snake6|95007|pi-potion-snake6-s95007-r2.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95007,b1|pi-potion-snake6|95007|pi-potion-snake6-s95007-r2.jsonl.gz,potionIntel,1.2413793103448276,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95004,b1|pi-potion-hazard-snake6|95004|pi-potion-hazard-snake6-s95004-r2.jsonl.gz,parentDefault,1.3846153846153846,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95004,b1|pi-potion-hazard-snake6|95004|pi-potion-hazard-snake6-s95004-r2.jsonl.gz,reflex,0.7692307692307693,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95004,b1|pi-potion-hazard-snake6|95004|pi-potion-hazard-snake6-s95004-r2.jsonl.gz,potionIntel,0.8461538461538461,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95007,b1|pi-potion-snake6|95007|pi-potion-snake6-s95007-r1.jsonl.gz,reflex,0.4666666666666667,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95007,b1|pi-potion-snake6|95007|pi-potion-snake6-s95007-r1.jsonl.gz,potionIntel,2.466666666666667,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95007,b1|pi-potion-snake6|95007|pi-potion-snake6-s95007-r1.jsonl.gz,parentDefault,0.06666666666666667,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95001,b1|pi-potion-snake6|95001|pi-potion-snake6-s95001-r2.jsonl.gz,parentDefault,2.1176470588235294,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95001,b1|pi-potion-snake6|95001|pi-potion-snake6-s95001-r2.jsonl.gz,reflex,0.8823529411764706,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95001,b1|pi-potion-snake6|95001|pi-potion-snake6-s95001-r2.jsonl.gz,potionIntel,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95005,b1|pi-potion-hazard-snake6|95005|pi-potion-hazard-snake6-s95005-r0.jsonl.gz,potionIntel,1.5625,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95005,b1|pi-potion-hazard-snake6|95005|pi-potion-hazard-snake6-s95005-r0.jsonl.gz,parentDefault,1.4375,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95005,b1|pi-potion-hazard-snake6|95005|pi-potion-hazard-snake6-s95005-r0.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95001,b1|pi-potion-hazard-snake6|95001|pi-potion-hazard-snake6-s95001-r2.jsonl.gz,parentDefault,1.054054054054054,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95001,b1|pi-potion-hazard-snake6|95001|pi-potion-hazard-snake6-s95001-r2.jsonl.gz,reflex,0.7297297297297297,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95001,b1|pi-potion-hazard-snake6|95001|pi-potion-hazard-snake6-s95001-r2.jsonl.gz,potionIntel,1.2162162162162162,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95001,b1|pi-potion-hazard-snake6|95001|pi-potion-hazard-snake6-s95001-r1.jsonl.gz,reflex,0.1875,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95001,b1|pi-potion-hazard-snake6|95001|pi-potion-hazard-snake6-s95001-r1.jsonl.gz,potionIntel,2.25,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95001,b1|pi-potion-hazard-snake6|95001|pi-potion-hazard-snake6-s95001-r1.jsonl.gz,parentDefault,0.5625,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95006,b1|pi-potion-snake6|95006|pi-potion-snake6-s95006-r1.jsonl.gz,reflex,0.3,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95006,b1|pi-potion-snake6|95006|pi-potion-snake6-s95006-r1.jsonl.gz,potionIntel,1.725,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95006,b1|pi-potion-snake6|95006|pi-potion-snake6-s95006-r1.jsonl.gz,parentDefault,0.975,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95003,b1|pi-potion-snake6|95003|pi-potion-snake6-s95003-r0.jsonl.gz,potionIntel,0.66,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95003,b1|pi-potion-snake6|95003|pi-potion-snake6-s95003-r0.jsonl.gz,parentDefault,2.34,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95003,b1|pi-potion-snake6|95003|pi-potion-snake6-s95003-r0.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95007,b1|pi-potion-hazard-snake6|95007|pi-potion-hazard-snake6-s95007-r2.jsonl.gz,parentDefault,1.9615384615384615,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95007,b1|pi-potion-hazard-snake6|95007|pi-potion-hazard-snake6-s95007-r2.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95007,b1|pi-potion-hazard-snake6|95007|pi-potion-hazard-snake6-s95007-r2.jsonl.gz,potionIntel,1.0384615384615385,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95004,b1|pi-potion-snake6|95004|pi-potion-snake6-s95004-r0.jsonl.gz,potionIntel,1.2857142857142858,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95004,b1|pi-potion-snake6|95004|pi-potion-snake6-s95004-r0.jsonl.gz,parentDefault,1.7142857142857142,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95004,b1|pi-potion-snake6|95004|pi-potion-snake6-s95004-r0.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95002,b1|pi-potion-hazard-snake6|95002|pi-potion-hazard-snake6-s95002-r1.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95002,b1|pi-potion-hazard-snake6|95002|pi-potion-hazard-snake6-s95002-r1.jsonl.gz,potionIntel,2.0555555555555554,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95002,b1|pi-potion-hazard-snake6|95002|pi-potion-hazard-snake6-s95002-r1.jsonl.gz,parentDefault,0.9444444444444444,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95008,b1|pi-potion-hazard-snake6|95008|pi-potion-hazard-snake6-s95008-r2.jsonl.gz,parentDefault,1.064516129032258,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95008,b1|pi-potion-hazard-snake6|95008|pi-potion-hazard-snake6-s95008-r2.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95008,b1|pi-potion-hazard-snake6|95008|pi-potion-hazard-snake6-s95008-r2.jsonl.gz,potionIntel,1.935483870967742,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95001,b1|pi-potion-snake6|95001|pi-potion-snake6-s95001-r0.jsonl.gz,potionIntel,1.3846153846153846,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95001,b1|pi-potion-snake6|95001|pi-potion-snake6-s95001-r0.jsonl.gz,parentDefault,1.6153846153846154,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95001,b1|pi-potion-snake6|95001|pi-potion-snake6-s95001-r0.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95007,b1|pi-potion-snake6|95007|pi-potion-snake6-s95007-r0.jsonl.gz,potionIntel,1.2,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95007,b1|pi-potion-snake6|95007|pi-potion-snake6-s95007-r0.jsonl.gz,parentDefault,1.45,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95007,b1|pi-potion-snake6|95007|pi-potion-snake6-s95007-r0.jsonl.gz,reflex,0.35,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95005,b1|pi-potion-snake6|95005|pi-potion-snake6-s95005-r1.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95005,b1|pi-potion-snake6|95005|pi-potion-snake6-s95005-r1.jsonl.gz,potionIntel,1.6666666666666667,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95005,b1|pi-potion-snake6|95005|pi-potion-snake6-s95005-r1.jsonl.gz,parentDefault,1.3333333333333333,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95002,b1|pi-potion-snake6|95002|pi-potion-snake6-s95002-r2.jsonl.gz,parentDefault,2.3823529411764706,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95002,b1|pi-potion-snake6|95002|pi-potion-snake6-s95002-r2.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95002,b1|pi-potion-snake6|95002|pi-potion-snake6-s95002-r2.jsonl.gz,potionIntel,0.6176470588235294,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95006,b1|pi-potion-snake6|95006|pi-potion-snake6-s95006-r2.jsonl.gz,parentDefault,0.6666666666666666,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95006,b1|pi-potion-snake6|95006|pi-potion-snake6-s95006-r2.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95006,b1|pi-potion-snake6|95006|pi-potion-snake6-s95006-r2.jsonl.gz,potionIntel,2.3333333333333335,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95003,b1|pi-potion-hazard-snake6|95003|pi-potion-hazard-snake6-s95003-r2.jsonl.gz,parentDefault,1.4666666666666666,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95003,b1|pi-potion-hazard-snake6|95003|pi-potion-hazard-snake6-s95003-r2.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95003,b1|pi-potion-hazard-snake6|95003|pi-potion-hazard-snake6-s95003-r2.jsonl.gz,potionIntel,1.5333333333333334,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95007,b1|pi-potion-hazard-snake6|95007|pi-potion-hazard-snake6-s95007-r1.jsonl.gz,reflex,0.65625,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95007,b1|pi-potion-hazard-snake6|95007|pi-potion-hazard-snake6-s95007-r1.jsonl.gz,potionIntel,1.171875,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95007,b1|pi-potion-hazard-snake6|95007|pi-potion-hazard-snake6-s95007-r1.jsonl.gz,parentDefault,1.171875,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95006,b1|pi-potion-hazard-snake6|95006|pi-potion-hazard-snake6-s95006-r0.jsonl.gz,potionIntel,1.5,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95006,b1|pi-potion-hazard-snake6|95006|pi-potion-hazard-snake6-s95006-r0.jsonl.gz,parentDefault,1.1363636363636365,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95006,b1|pi-potion-hazard-snake6|95006|pi-potion-hazard-snake6-s95006-r0.jsonl.gz,reflex,0.36363636363636365,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95002,b1|pi-potion-snake6|95002|pi-potion-snake6-s95002-r1.jsonl.gz,reflex,0.44680851063829785,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95002,b1|pi-potion-snake6|95002|pi-potion-snake6-s95002-r1.jsonl.gz,potionIntel,2.5531914893617023,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95002,b1|pi-potion-snake6|95002|pi-potion-snake6-s95002-r1.jsonl.gz,parentDefault,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95008,b1|pi-potion-hazard-snake6|95008|pi-potion-hazard-snake6-s95008-r1.jsonl.gz,reflex,0.25,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95008,b1|pi-potion-hazard-snake6|95008|pi-potion-hazard-snake6-s95008-r1.jsonl.gz,potionIntel,0.95,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95008,b1|pi-potion-hazard-snake6|95008|pi-potion-hazard-snake6-s95008-r1.jsonl.gz,parentDefault,1.8,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95002,b1|pi-potion-snake6|95002|pi-potion-snake6-s95002-r0.jsonl.gz,potionIntel,0.9795918367346939,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95002,b1|pi-potion-snake6|95002|pi-potion-snake6-s95002-r0.jsonl.gz,parentDefault,1.530612244897959,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95002,b1|pi-potion-snake6|95002|pi-potion-snake6-s95002-r0.jsonl.gz,reflex,0.4897959183673469,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95003,b1|pi-potion-hazard-snake6|95003|pi-potion-hazard-snake6-s95003-r0.jsonl.gz,potionIntel,1.337837837837838,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95003,b1|pi-potion-hazard-snake6|95003|pi-potion-hazard-snake6-s95003-r0.jsonl.gz,parentDefault,1.2567567567567568,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95003,b1|pi-potion-hazard-snake6|95003|pi-potion-hazard-snake6-s95003-r0.jsonl.gz,reflex,0.40540540540540543,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95008,b1|pi-potion-hazard-snake6|95008|pi-potion-hazard-snake6-s95008-r0.jsonl.gz,potionIntel,1.186046511627907,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95008,b1|pi-potion-hazard-snake6|95008|pi-potion-hazard-snake6-s95008-r0.jsonl.gz,parentDefault,1.813953488372093,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95008,b1|pi-potion-hazard-snake6|95008|pi-potion-hazard-snake6-s95008-r0.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95003,b1|pi-potion-snake6|95003|pi-potion-snake6-s95003-r1.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95003,b1|pi-potion-snake6|95003|pi-potion-snake6-s95003-r1.jsonl.gz,potionIntel,1.32,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95003,b1|pi-potion-snake6|95003|pi-potion-snake6-s95003-r1.jsonl.gz,parentDefault,1.68,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95002,b1|pi-potion-hazard-snake6|95002|pi-potion-hazard-snake6-s95002-r0.jsonl.gz,potionIntel,1.9038461538461537,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95002,b1|pi-potion-hazard-snake6|95002|pi-potion-hazard-snake6-s95002-r0.jsonl.gz,parentDefault,0.8653846153846154,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95002,b1|pi-potion-hazard-snake6|95002|pi-potion-hazard-snake6-s95002-r0.jsonl.gz,reflex,0.23076923076923078,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95006,b1|pi-potion-snake6|95006|pi-potion-snake6-s95006-r0.jsonl.gz,potionIntel,1.26,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95006,b1|pi-potion-snake6|95006|pi-potion-snake6-s95006-r0.jsonl.gz,parentDefault,1.74,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95006,b1|pi-potion-snake6|95006|pi-potion-snake6-s95006-r0.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95003,b1|pi-potion-hazard-snake6|95003|pi-potion-hazard-snake6-s95003-r1.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95003,b1|pi-potion-hazard-snake6|95003|pi-potion-hazard-snake6-s95003-r1.jsonl.gz,potionIntel,1.8113207547169812,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-hazard-snake6,95003,b1|pi-potion-hazard-snake6|95003|pi-potion-hazard-snake6-s95003-r1.jsonl.gz,parentDefault,1.1886792452830188,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95005,b1|pi-potion-snake6|95005|pi-potion-snake6-s95005-r2.jsonl.gz,parentDefault,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95005,b1|pi-potion-snake6|95005|pi-potion-snake6-s95005-r2.jsonl.gz,reflex,0.5769230769230769,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95005,b1|pi-potion-snake6|95005|pi-potion-snake6-s95005-r2.jsonl.gz,potionIntel,2.423076923076923,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95004,b1|pi-potion-snake6|95004|pi-potion-snake6-s95004-r1.jsonl.gz,reflex,0.46153846153846156,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95004,b1|pi-potion-snake6|95004|pi-potion-snake6-s95004-r1.jsonl.gz,potionIntel,0.38461538461538464,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95004,b1|pi-potion-snake6|95004|pi-potion-snake6-s95004-r1.jsonl.gz,parentDefault,2.1538461538461537,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95003,b1|pi-potion-snake6|95003|pi-potion-snake6-s95003-r2.jsonl.gz,parentDefault,1.8823529411764706,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95003,b1|pi-potion-snake6|95003|pi-potion-snake6-s95003-r2.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95003,b1|pi-potion-snake6|95003|pi-potion-snake6-s95003-r2.jsonl.gz,potionIntel,1.1176470588235294,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95008,b1|pi-potion-snake6|95008|pi-potion-snake6-s95008-r0.jsonl.gz,potionIntel,1.425,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95008,b1|pi-potion-snake6|95008|pi-potion-snake6-s95008-r0.jsonl.gz,parentDefault,1.575,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95008,b1|pi-potion-snake6|95008|pi-potion-snake6-s95008-r0.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95008,b1|pi-potion-snake6|95008|pi-potion-snake6-s95008-r1.jsonl.gz,reflex,0,native,3,21,80,400,snake|snake|snake|snake|snake|snake
b1,nullA,pi-potion-snake6,95008,b1|pi-potion-snake6|95008|pi-potion-snake6-s95008-r1.jsonl.gz,potionIntel,1.6153846153846154,native,3,21,80,400,snake|snake|snake|snake|snake|snake
